id,gamescount,last_game_win,round_type_1,round_type_2,round_type_3,total_cards_done,total_length,total_lost,total_magic_used,total_win,turnir_counts,turnir_wins,type_1,type_2,visits,skill,magic_for_card,card_for_game,magic_for_game,games_for_visit,more_win_then_mean,more_length_then_mean,more_magic_then_mean
218626,27,1,0.0,0.0,0.0,1039,4141,1,26,26,0,0,1.0,0.0,2,0.9629629629629629,0.025,38.48148148148148,0.9629629629629629,13.5,True,True,True
218628,24,0,0.0,0.0,0.0,1006,5805,1,23,23,0,0,1.0,0.0,2,0.9583333333333334,0.022840119165839126,41.916666666666664,0.9583333333333334,12.0,True,True,True
218635,3,0,0.0,0.0,0.0,156,655,0,3,3,0,0,1.0,0.0,1,1.0,0.01910828025477707,52.0,1.0,3.0,False,False,False
218636,2,0,0.0,0.0,0.0,52,269,1,1,1,0,0,1.0,0.0,1,0.5,0.018867924528301886,26.0,0.5,2.0,False,False,False
218638,46,1,0.5,0.5,0.0,1399,10682,4,42,42,2,0,0.9565217391304348,0.043478260869565216,2,0.9130434782608695,0.03,30.41304347826087,0.9130434782608695,23.0,True,True,True
218646,4,0,0.0,0.0,0.0,118,524,1,3,3,0,0,1.0,0.0,1,0.75,0.025210084033613446,29.5,0.75,4.0,False,False,False
218643,18,0,0.0,0.0,0.0,362,6159,8,10,10,0,0,1.0,0.0,2,0.5555555555555556,0.027548209366391185,20.11111111111111,0.5555555555555556,9.0,True,True,True
218647,4,0,0.0,0.0,0.0,153,740,2,2,2,0,0,1.0,0.0,1,0.5,0.012987012987012988,38.25,0.5,4.0,False,False,False
218653,3,0,0.0,0.0,0.0,77,490,1,2,2,0,0,1.0,0.0,1,0.6666666666666666,0.02564102564102564,25.666666666666668,0.6666666666666666,3.0,False,False,False
218655,2,0,0.0,0.0,0.0,52,416,1,1,1,0,0,1.0,0.0,1,0.5,0.018867924528301886,26.0,0.5,2.0,False,False,False
218659,3,0,0.0,0.0,0.0,156,488,0,3,3,0,0,1.0,0.0,1,1.0,0.01910828025477707,52.0,1.0,3.0,False,False,False
218662,3,0,0.0,0.0,0.0,62,633,1,2,2,0,0,1.0,0.0,1,0.6666666666666666,0.031746031746031744,20.666666666666668,0.6666666666666666,3.0,False,False,False
218660,16,0,0.0,0.0,0.0,550,3662,1,15,15,0,0,1.0,0.0,2,0.9375,0.02722323049001815,34.375,0.9375,8.0,True,True,True
218671,6,0,0.0,0.0,0.0,162,2137,2,4,4,0,0,1.0,0.0,1,0.6666666666666666,0.024539877300613498,27.0,0.6666666666666666,6.0,False,True,False
218674,16,0,0.0,0.0,0.0,464,5349,5,11,11,0,0,1.0,0.0,3,0.6875,0.023655913978494623,29.0,0.6875,5.333333333333333,True,True,True
